Measure Names,Municipio,Measure Values
Brechas de género en Cuentas** SOFIPO (Mujeres),Meoqui,100
Brechas de género en Cuentas** Total cuentas (Brechas),Meoqui,68
Brechas de género en Cuentas** Total cuentas (Hombres),Meoqui,20970
Brechas de género en Cuentas** Total cuentas (Mujeres),Meoqui,24043
Cajeros Automáticos Banca de desarrollo,Meoqui,0
Cajeros Automáticos Banca múltiple,Meoqui,16
Cajeros Automáticos SOCAP,Meoqui,3
Cajeros Automáticos SOFIPO,Meoqui,0
Cajeros Automáticos Total,Meoqui,19
Corresponsales Máximos,Meoqui,18
Créditos Banca de desarrollo,Meoqui,33
Créditos Banca múltiple,Meoqui,17785
Créditos SOCAP,Meoqui,4902
Créditos SOFIPO,Meoqui,21
Créditos Total,Meoqui,22741
Cuentas Banca de desarrollo,Meoqui,0
Cuentas Banca múltiple,Meoqui,24499
Cuentas SOCAP,Meoqui,20751
Cuentas SOFIPO,Meoqui,214
Cuentas Total,Meoqui,45464
Medios de pago - transacciones en TPV Banca de desarrollo,Meoqui,0
Medios de pago - transacciones en TPV Banca múltiple,Meoqui,65222
Medios de pago - transacciones en TPV SOCAP,Meoqui,0
Medios de pago - transacciones en TPV SOFIPO,Meoqui,0
Medios de pago - transacciones en TPV Total,Meoqui,65222
Remesas Ingreso por remesas por persona,Meoqui,852
Remesas Millones de dólares,Meoqui,382
Sucursales Banca de desarrollo,Meoqui,0
Sucursales Banca múltiple,Meoqui,7
Sucursales SOCAP,Meoqui,2
Sucursales SOFIPO,Meoqui,0
Sucursales Total,Meoqui,9
Terminales punto de venta Agregadores,Meoqui,521
Terminales punto de venta Banca de desarrollo,Meoqui,0
Terminales punto de venta Banca múltiple,Meoqui,451
Terminales punto de venta SOCAP,Meoqui,0
Terminales punto de venta SOFIPO,Meoqui,0
Terminales punto de venta Total,Meoqui,1423
Terminales punto de venta Total sin agregadores,Meoqui,451
Básicos Densidad poblacional (hab/km2),Meoqui,104.5
Básicos Hombres,Meoqui,0.499
Básicos Mujeres,Meoqui,0.501
Básicos Población,Meoqui,44853
Básicos Superficie (km2),Meoqui,429.2
Básicos Total localidades,Meoqui,516
Básicos Total viviendas particulares habitadas,Meoqui,13837
Escolaridad 15 a 24 años,Meoqui,0.983
Escolaridad 25 años o más,Meoqui,0.966
Escolaridad Básica,Meoqui,0.629
Escolaridad Media superior,Meoqui,0.208
Escolaridad Sin escolaridad,Meoqui,0.033
Escolaridad Superior,Meoqui,0.128
PEA Con alguna limitación física o mental,Meoqui,0.046
PEA Dedicadas a quehaceres del hogar,Meoqui,0.414
PEA En otras actividades no económicas,Meoqui,0.114
PEA Estudiantes,Meoqui,0.306
PEA Hombres,Meoqui,0.619
PEA Mujeres,Meoqui,0.381
PEA Pensionadas/ jubiladas,Meoqui,0.119
PEA Población Económicamente Activa,Meoqui,0.597
PEA Población no económicamente activa,Meoqui,0.401
Población*,Meoqui,44853
TIC Computadora,Meoqui,0.318
TIC Internet,Meoqui,0.447
TIC Línea telefónica fija,Meoqui,0.244
TIC Televisión de paga,Meoqui,0.545
TIC Teléfono celular,Meoqui,0.93
Brechas de género en Créditos** Banca Banca de desarrollo (Brecha),Rosales,-999
Brechas de género en Créditos** Banca de desarrollo (Hombres),Rosales,5
Brechas de género en Créditos** Banca de desarrollo (Mujeres),Rosales,20
Brechas de género en Créditos** Banca múltiple (Brecha),Rosales,13
Brechas de género en Créditos** Banca múltiple (Hombres),Rosales,1727
Brechas de género en Créditos** Banca múltiple (Mujeres),Rosales,1773
Brechas de género en Créditos** SOCAP (Brecha),Rosales,122
Brechas de género en Créditos** SOCAP (Hombres),Rosales,1086
Brechas de género en Créditos** SOCAP (Mujeres),Rosales,1388
Brechas de género en Créditos** SOFIPO (Brecha),Rosales,-999
Brechas de género en Créditos** SOFIPO (Hombres),Rosales,3
Brechas de género en Créditos** SOFIPO (Mujeres),Rosales,1
Brechas de género en Créditos** Total créditos (Brechas),Rosales,6
Brechas de género en Créditos** Total créditos (Hombres),Rosales,2821
Brechas de género en Créditos** Total créditos (Mujeres),Rosales,3182
Brechas de género en Cuentas** Banca Banca de desarrollo (Brecha),Rosales,-999
Brechas de género en Cuentas** Banca de desarrollo (Hombres),Rosales,0
Brechas de género en Cuentas** Banca de desarrollo (Mujeres),Rosales,0
Brechas de género en Cuentas** Banca múltiple (Brecha),Rosales,13
Brechas de género en Cuentas** Banca múltiple (Hombres),Rosales,400
Brechas de género en Cuentas** Banca múltiple (Mujeres),Rosales,520
Brechas de género en Cuentas** SOCAP (Brecha),Rosales,111
Brechas de género en Cuentas** SOCAP (Hombres),Rosales,4079
Brechas de género en Cuentas** SOCAP (Mujeres),Rosales,5096
Brechas de género en Cuentas** SOFIPO (Brecha),Rosales,-999
Brechas de género en Cuentas** SOFIPO (Hombres),Rosales,34
Brechas de género en Cuentas** SOFIPO (Mujeres),Rosales,52
Brechas de género en Cuentas** Total cuentas (Brechas),Rosales,113
Brechas de género en Cuentas** Total cuentas (Hombres),Rosales,4513
Brechas de género en Cuentas** Total cuentas (Mujeres),Rosales,5668
Cajeros Automáticos Banca de desarrollo,Rosales,0
Cajeros Automáticos Banca múltiple,Rosales,3
Cajeros Automáticos SOCAP,Rosales,0
Cajeros Automáticos SOFIPO,Rosales,0
Cajeros Automáticos Total,Rosales,3
Corresponsales Máximos,Rosales,0
Créditos Banca de desarrollo,Rosales,25
Créditos Banca múltiple,Rosales,4243
Créditos SOCAP,Rosales,2474
Créditos SOFIPO,Rosales,4
Créditos Total,Rosales,6746
Cuentas Banca de desarrollo,Rosales,0
Cuentas Banca múltiple,Rosales,920
Cuentas SOCAP,Rosales,9175
Cuentas SOFIPO,Rosales,86
Cuentas Total,Rosales,10181
Medios de pago - transacciones en TPV Banca de desarrollo,Rosales,0
Medios de pago - transacciones en TPV Banca múltiple,Rosales,2614
Medios de pago - transacciones en TPV SOCAP,Rosales,0
Medios de pago - transacciones en TPV SOFIPO,Rosales,0
Medios de pago - transacciones en TPV Total,Rosales,2614
Remesas Ingreso por remesas por persona,Rosales,111
Remesas Millones de dólares,Rosales,19
Sucursales Banca de desarrollo,Rosales,0
Sucursales Banca múltiple,Rosales,1
Sucursales SOCAP,Rosales,1
Sucursales SOFIPO,Rosales,0
Sucursales Total,Rosales,2
Terminales punto de venta Agregadores,Rosales,92
Terminales punto de venta Banca de desarrollo,Rosales,0
Terminales punto de venta Banca múltiple,Rosales,62
Terminales punto de venta SOCAP,Rosales,0
Terminales punto de venta SOFIPO,Rosales,0
Terminales punto de venta Total,Rosales,216
Terminales punto de venta Total sin agregadores,Rosales,62
Básicos Densidad poblacional (hab/km2),Rosales,8.7
Básicos Hombres,Rosales,0.502
Básicos Mujeres,Rosales,0.498
Básicos Población,Rosales,16776
Básicos Superficie (km2),Rosales,1926.8
